--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/1950 a 03/10/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83781;28/01/1961;1200;16.9;16.4;95;925.9;14;2.6;10;
83781;28/01/1961;1800;19.6;18.1;87;924.6;14;4.6;10;
83781;29/01/1961;0000;17.3;17.1;98;925.8;14;3.1;10;
83781;29/01/1961;1200;19.7;18.9;93;925.2;0;0;10;
83781;29/01/1961;1800;21.2;19.9;88;923.5;32;1.3;10;
83781;30/01/1961;0000;19.6;19.2;97;925.4;0;0;10;
83781;30/01/1961;1200;21.2;19.5;85;924.4;36;3.1;10;
83781;30/01/1961;1800;25.4;21.5;70;922.3;32;5.1;7;
83781;31/01/1961;0000;20.5;19.7;92;924.6;9;3.1;10;
83781;31/01/1961;1200;20.7;20.1;95;925.1;0;0;6;
83781;31/01/1961;1800;25.4;20.7;65;922;18;9.3;8;
83781;01/02/1961;0000;21.2;20.2;91;924.4;9;1;10;
83781;01/02/1961;1200;23.6;20;72;925.1;36;9.3;3;
83781;01/02/1961;1800;30.4;22.2;48;922;36;3.6;6;
83781;02/02/1961;0000;19.6;19;95;924.7;14;2.6;10;
83781;02/02/1961;1200;23.3;21.5;86;926;0;0;0;
83781;02/02/1961;1800;30.4;23.5;55;923.4;32;4.6;5;
83781;03/02/1961;0000;20.1;19.2;92;926.2;5;1;10;
83781;03/02/1961;1200;23.8;21.3;80;926.7;5;1;8;
83781;03/02/1961;1800;26.2;21.2;63;925.4;14;8.8;10;
83781;04/02/1961;0000;21.1;20.5;94;927.1;14;3.1;8;
83781;04/02/1961;1200;22.8;20.8;84;927.2;14;3.6;10;
83781;04/02/1961;1800;25.9;22.3;73;924.3;14;6.2;8;
83781;05/02/1961;0000;19.9;19.5;96;925.5;5;2.1;10;
83781;05/02/1961;1200;20.4;18.7;86;924.8;36;3.6;10;
83781;05/02/1961;1800;27.3;20.5;53;923.2;32;4.1;6;
83781;06/02/1961;0000;20.9;19.3;86;924;32;3.1;10;
83781;06/02/1961;1200;23.3;20.3;76;925.4;36;2.6;10;
83781;06/02/1961;1800;28.7;21.4;51;924.3;32;5.1;7;
83781;07/02/1961;0000;20.8;20;93;926.2;0;0;10;
83781;07/02/1961;1200;25.4;21.5;70;927.9;27;3.1;4;
83781;07/02/1961;1800;30;21.9;48;925.4;32;4.6;5;
83781;08/02/1961;0000;21.8;20.2;87;927.5;9;2.6;8;
83781;08/02/1961;1200;24.7;21.7;77;927.6;0;0;5;
83781;08/02/1961;1800;26.4;21.6;65;925.2;14;3.6;10;
83781;09/02/1961;0000;22.4;21.2;90;927.6;18;1;10;
83781;09/02/1961;1200;23;21.3;86;927;5;1;9;
83781;09/02/1961;1800;24;21.3;78;925;14;4.1;10;
83781;10/02/1961;0000;20.9;19.9;91;925.6;14;3.1;10;
83781;10/02/1961;1200;22.4;20.7;85;926.4;9;2.1;10;
83781;10/02/1961;1800;25.9;22.3;73;923.2;14;3.1;8;
83781;11/02/1961;0000;21.4;20.2;89;923.9;9;4.1;9;
83781;11/02/1961;1200;23.8;20.9;77;922.8;32;8.2;10;
83781;11/02/1961;1800;27.4;22.4;64;920;27;2.6;9;
83781;12/02/1961;0000;23.1;20.8;81;920.8;5;3.1;10;
83781;12/02/1961;1200;21.7;20.3;87;920.8;0;0;10;
83781;12/02/1961;1800;20;19.9;99;919.1;36;4.6;10;
83781;13/02/1961;0000;19.4;18.8;94;921.5;14;0.5;10;
83781;13/02/1961;1200;20.4;18.5;84;922.2;9;3.1;10;
83781;13/02/1961;1800;23.3;19.6;71;921.2;32;2.1;10;
83781;14/02/1961;0000;19.2;18.2;90;923.1;14;2.1;5;
83781;14/02/1961;1200;20.5;18;78;925.5;9;5.7;9;
83781;14/02/1961;1800;23.1;18.3;62;925.6;14;6.2;8;
83781;15/02/1961;0000;18.6;16.9;85;928;9;4.1;2;
83781;15/02/1961;1200;20;17.1;75;929.2;9;11.3;8;
83781;15/02/1961;1800;23.2;19.5;71;927.1;14;4.1;10;
83781;16/02/1961;0000;18.6;17.8;92;928.3;14;4.1;10;
83781;16/02/1961;1200;19;17.5;86;928;9;3.1;10;
83781;16/02/1961;1800;21.5;19.6;84;926;9;2.6;10;
83781;17/02/1961;0000;19.5;18.4;89;926.2;14;2.6;10;
83781;17/02/1961;1200;20.2;19.2;91;926.6;9;2.6;10;
83781;17/02/1961;1800;19.7;19.3;96;925.1;23;2.6;10;
83781;18/02/1961;0000;18.6;18.5;99;925.4;5;2.6;10;
83781;18/02/1961;1200;21.8;19.2;79;926.8;36;4.1;8;
83781;18/02/1961;1800;21.4;19.4;83;925.4;32;2.1;10;
83781;19/02/1961;0000;20.3;19.5;92;925.5;5;2.1;8;
83781;19/02/1961;1200;23.3;19.1;67;925.1;36;6.7;8;
83781;19/02/1961;1800;23.1;20.2;77;922.4;32;3.1;10;
83781;20/02/1961;0000;19.5;18.7;92;923.8;5;3.1;6;
83781;20/02/1961;1200;22.3;20.4;85;923.9;5;1.5;8;
83781;20/02/1961;1800;26.2;21.3;64;921.5;32;2.6;9;
83781;21/02/1961;0000;19.9;19.3;94;922.7;9;2.6;10;
83781;21/02/1961;1200;21;20.4;94;924.3;0;0;8;
83781;21/02/1961;1800;28.4;22.2;57;921.1;27;4.6;9;
83781;22/02/1961;0000;20.9;20.4;95;923.2;5;1.5;9;
83781;22/02/1961;1200;22.3;20.5;86;924.4;36;2.6;10;
83781;22/02/1961;1800;28.2;22.8;62;922.3;32;3.1;6;
83781;23/02/1961;0000;20.4;20.2;98;924;0;0;10;
83781;23/02/1961;1200;20.3;19.6;93;925;36;4.1;10;
83781;23/02/1961;1800;23.1;21;83;923.2;32;2.6;10;
83781;24/02/1961;0000;21.1;19.4;85;925;0;0;10;
83781;24/02/1961;1200;23;19.7;74;924.4;36;6.7;10;
83781;24/02/1961;1800;23.8;20.7;76;922.6;32;4.1;9;
83781;25/02/1961;0000;22;20.2;85;923.1;0;0;5;
83781;25/02/1961;1200;21.8;19.1;78;924.7;32;3.6;10;
83781;25/02/1961;1800;26.9;21.7;63;922;32;3.1;6;
83781;26/02/1961;0000;23.9;21.4;80;923;36;2.6;9;
83781;26/02/1961;1200;24.4;21.6;78;924;36;4.1;10;
83781;26/02/1961;1800;28.2;23;64;921.9;32;4.6;10;
83781;27/02/1961;0000;22.9;20.8;83;923.8;32;2.1;9;
83781;27/02/1961;1200;23.4;21.1;82;925.5;36;7.7;10;
83781;27/02/1961;1800;26.3;22.3;70;923.6;32;4.1;10;
83781;28/02/1961;0000;21.8;20.4;88;924.8;32;2.6;10;
83781;28/02/1961;1200;20.6;20.2;97;925.4;27;2.6;10;
83781;28/02/1961;1800;19.1;18.6;95;924.6;0;0;10;
83781;01/03/1961;0000;18.5;18.2;97;926.2;18;4.6;10;
83781;01/03/1961;1200;18.8;18.1;93;927.1;14;3.1;10;
83781;01/03/1961;1800;18.8;17.1;85;925.9;14;3.6;10;
83781;02/03/1961;0000;17.3;16.4;91;926.4;9;3.1;10;
83781;02/03/1961;1200;18.6;16.8;84;926.8;14;2.6;10;
83781;02/03/1961;1800;21.1;17.9;72;924.8;14;2.6;10;
83781;03/03/1961;0000;15.8;15;91;927;14;3.1;9;
83781;03/03/1961;1200;18.8;16.4;78;926.3;9;2.6;3;
83781;03/03/1961;1800;28.1;17.2;32;923.1;32;2.6;1;
83781;04/03/1961;0000;17.9;16.9;90;924.6;9;2.6;0;
83781;04/03/1961;1200;16.4;15.9;95;924.4;5;2.1;5;
83781;04/03/1961;1800;29.1;19.1;37;922;14;2.6;7;
83781;05/03/1961;0000;21.2;17.4;68;924.3;5;1.5;9;
83781;05/03/1961;1200;20.3;17;72;924.6;0;0;7;
83781;05/03/1961;1800;25.7;19.9;58;923.2;14;3.6;10;
83781;06/03/1961;0000;18.6;16.9;85;926.2;18;1.5;10;
83781;06/03/1961;1200;19.7;18.6;90;927.6;14;3.6;10;
83781;06/03/1961;1800;19.9;18.5;87;925.8;14;5.1;10;
83781;07/03/1961;0000;18.9;18.7;98;927;14;3.6;10;
83781;07/03/1961;1200;20.3;19.4;91;926.2;14;3.6;10;
83781;07/03/1961;1800;19.3;18.8;95;923.8;14;2.6;10;
83781;08/03/1961;0000;18.9;18.4;95;923.6;18;3.6;10;
83781;08/03/1961;1200;21.3;19.9;87;923.4;0;0;10;
83781;08/03/1961;1800;25;21.9;76;920.6;23;3.6;9;
83781;09/03/1961;0000;20.4;19.9;95;922.7;0;0;10;
83781;09/03/1961;1200;22.1;20.3;85;924.3;32;3.6;10;
83781;09/03/1961;1800;27.1;22.3;65;923.8;32;2.1;8;
83781;10/03/1961;0000;21.6;20.6;91;926;14;3.6;10;
83781;10/03/1961;1200;19.4;19.4;100;928.2;5;1;10;
83781;10/03/1961;1800;29.7;21;45;925.2;0;0;2;
83781;11/03/1961;0000;21.8;20.8;91;925.5;18;2.6;10;
83781;11/03/1961;1200;22.9;21.2;87;925.9;36;2.6;8;
83781;11/03/1961;1800;30.8;23.9;55;922.3;32;2.1;6;
83781;12/03/1961;0000;23.1;22.3;93;923.5;14;2.1;8;
