--------------------
BDMEP - INMET
--------------------
Estação           : RIO DE JANEIRO - RJ (OMM: 83743)
Latitude  (graus) : -22.89
Longitude (graus) : -43.18
Altitude  (metros): 11.10
Estação Operante
Inicio de operação: 01/01/1917
Periodo solicitado dos dados: 01/01/1950 a 03/10/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83743;28/01/1961;1800;24.8;23.2;87;1008.7;9;5;10;
83743;29/01/1961;0000;22.7;22.2;96;1010.7;36;1.8;10;
83743;29/01/1961;1200;24.2;23;90;1010.2;0;0;10;
83743;29/01/1961;1800;26.6;24.1;81;1008.3;18;1.5;10;
83743;30/01/1961;0000;24.8;23.3;88;1010.7;0;0;10;
83743;30/01/1961;1200;25.8;24;86;1009.2;0;0;9;
83743;30/01/1961;1800;24.8;23.8;92;1007.8;14;2;10;
83743;31/01/1961;0000;24.4;23.2;90;1009.6;0;0;10;
83743;31/01/1961;1200;25.2;23.5;86;1009.4;0;0;10;
83743;31/01/1961;1800;26.4;24;81;1007.6;9;5;10;
83743;01/02/1961;0000;25.2;23.6;87;1010.2;0;0;10;
83743;01/02/1961;1200;26.8;24.6;83;1009.5;0;0;7;
83743;01/02/1961;1800;26.8;25;86;1008;14;5;9;
83743;02/02/1961;0000;26.2;25.2;92;1009.6;0;0;10;
83743;02/02/1961;1200;27.2;24.1;77;1010.7;0;0;2;
83743;02/02/1961;1800;28.6;25.4;76;1007.4;14;5;5;
83743;03/02/1961;0000;28.4;25.4;77;1009.5;0;0;1;
83743;03/02/1961;1200;27.5;25.4;83;1010.8;0;0;2;
83743;03/02/1961;1800;28.9;25.3;74;1009.8;14;1;7;
83743;04/02/1961;0000;26.8;24.6;83;1011.9;0;0;10;
83743;04/02/1961;1200;26.4;23.9;80;1012.4;0;0;10;
83743;04/02/1961;1800;28.1;24.7;74;1009.9;9;6;7;
83743;05/02/1961;0000;25.8;23.7;84;1011.5;0;0;10;
83743;05/02/1961;1200;25.6;23.6;84;1010.2;0;0;10;
83743;05/02/1961;1800;28;24.6;75;1008.6;0;0;10;
83743;06/02/1961;0000;27.2;25;83;1008.8;0;0;0;
83743;06/02/1961;1200;28;24.9;76;1009.8;0;0;7;
83743;06/02/1961;1800;30.1;25.5;67;1008.7;14;7;3;
83743;07/02/1961;0000;27.4;24.2;76;1010.6;0;0;3;
83743;07/02/1961;1200;27.1;24.7;81;1012.4;0;0;7;
83743;07/02/1961;1800;31;25.5;63;1009.4;14;3.3;6;
83743;08/02/1961;0000;26.2;23.2;77;1011.2;32;2;10;
83743;08/02/1961;1200;27.8;24.8;77;1011.5;0;0;2;
83743;08/02/1961;1800;31.6;26.2;64;1008.6;18;4.5;4;
83743;09/02/1961;0000;27;24.7;82;1011.2;0;0;2;
83743;09/02/1961;1200;27.2;25.1;84;1011;0;0;8;
83743;09/02/1961;1800;29.2;25;70;1008.7;14;4;6;
83743;10/02/1961;0000;26.9;24.4;81;1010.7;14;1;10;
83743;10/02/1961;1200;26.3;24.5;86;1011.5;0;0;10;
83743;10/02/1961;1800;27.7;24.4;75;1009.2;14;4.8;7;
83743;11/02/1961;0000;26;23.6;81;1010.4;9;1;10;
83743;11/02/1961;1200;27.8;24.8;77;1007.8;0;0;0;
83743;11/02/1961;1800;30.7;25.9;67;1003.4;14;6;4;
83743;12/02/1961;0000;29.4;25.6;73;1004.2;0;0;5;
83743;12/02/1961;1200;26;23.3;78;1004.3;23;2;10;
83743;12/02/1961;1800;29.4;24.6;67;1003.1;27;1.3;10;
83743;13/02/1961;0000;26.1;22.9;74;1005.4;0;0;10;
83743;13/02/1961;1200;24.6;23.6;92;1007.2;0;0;10;
83743;13/02/1961;1800;24.1;22;82;1006.2;18;2;10;
83743;14/02/1961;0000;23.6;21.8;84;1009;5;5;10;
83743;14/02/1961;1200;22.8;20.6;82;1012.3;0;0;10;
83743;14/02/1961;1800;22.5;20;78;1012.7;0;0;10;
83743;15/02/1961;0000;21.2;19.6;85;1015.9;5;1;10;
83743;15/02/1961;1200;21.9;20.9;91;1016.6;0;0;10;
83743;15/02/1961;1800;23;21.3;85;1014.8;36;2;10;
83743;16/02/1961;0000;22.4;21.2;90;1015.8;0;0;10;
83743;16/02/1961;1200;22.8;21.6;90;1013.5;0;0;10;
83743;16/02/1961;1800;27.2;23.4;71;1011.2;14;6;9;
83743;17/02/1961;0000;23.6;22.4;90;1012.4;36;2;10;
83743;17/02/1961;1200;24.1;22.6;87;1013.2;0;0;10;
83743;17/02/1961;1800;27.9;24.8;77;1010.4;9;3.1;10;
83743;18/02/1961;0000;25;22.6;81;1011.6;5;7;10;
83743;18/02/1961;1200;25.4;23.2;83;1012.8;0;0;10;
83743;18/02/1961;1800;27.2;24;76;1010.6;14;2;10;
83743;19/02/1961;0000;25.8;23.3;80;1011.4;5;2;3;
83743;19/02/1961;1200;27.1;24;76;1010.7;0;0;5;
83743;19/02/1961;1800;26.9;23.6;75;1007;14;8;5;
83743;20/02/1961;0000;25.8;23.1;79;1009;5;2;2;
83743;20/02/1961;1200;25.6;22.4;74;1009.6;0;0;9;
83743;20/02/1961;1800;28.4;23.4;66;1007.1;14;4.5;7;
83743;21/02/1961;0000;25.8;22.5;74;1008.2;0;0;10;
83743;21/02/1961;1200;27.1;23.6;73;1009.4;0;0;3;
83743;21/02/1961;1800;31.7;24.7;54;1006;14;5.1;4;
83743;22/02/1961;0000;26.2;23.2;77;1007.9;0;0;4;
83743;22/02/1961;1200;28;24.1;71;1009.2;0;0;6;
83743;22/02/1961;1800;29.6;24.1;62;1007.1;14;6.5;7;
83743;23/02/1961;0000;27.4;23.3;70;1008.7;0;0;4;
83743;23/02/1961;1200;26.8;24.2;80;1009.6;36;1.8;10;
83743;23/02/1961;1800;30.2;25.2;65;1006.7;0;0;8;
83743;24/02/1961;0000;23.8;22.7;91;1011.5;0;0;10;
83743;24/02/1961;1200;25.2;22.5;79;1009.6;0;0;7;
83743;24/02/1961;1800;29.3;24.5;66;1006.4;14;2.6;6;
83743;25/02/1961;0000;27.8;24.6;76;1007.6;0;0;6;
83743;25/02/1961;1200;28;24.4;73;1008.6;0;0;8;
83743;25/02/1961;1800;29.7;24.7;65;1005.9;14;7.4;5;
83743;26/02/1961;0000;28.4;23.4;64;1007.6;27;3;10;
83743;26/02/1961;1200;29.2;25;70;1007.8;0;0;5;
83743;26/02/1961;1800;34.8;25.9;47;1005.5;5;1;2;
83743;27/02/1961;0000;29.8;24;60;1007.4;23;3.5;0;
83743;27/02/1961;1200;28.8;24.1;66;1009.1;0;0;7;
83743;27/02/1961;1800;29.8;24.8;65;1006.8;9;5.7;5;
83743;28/02/1961;0000;27;24.3;79;1009.2;0;0;9;
83743;28/02/1961;1200;27.2;24.8;82;1009.1;0;0;8;
83743;28/02/1961;1800;27.7;24.6;77;1008;14;6.5;9;
83743;01/03/1961;0000;26;24.2;86;1010.2;0;0;10;
83743;01/03/1961;1200;25.2;24.2;92;1010;27;2;10;
83743;01/03/1961;1800;23.1;22.6;96;1009;14;4.3;10;
83743;02/03/1961;0000;24.2;22.4;85;1011.5;14;2;10;
83743;02/03/1961;1200;24.7;21.2;72;1012.7;14;1;7;
83743;02/03/1961;1800;26.8;21.5;60;1010.6;14;5;6;
83743;03/03/1961;0000;23.6;20.6;75;1015.2;0;0;9;
83743;03/03/1961;1200;23.7;20.9;76;1012.7;0;0;2;
83743;03/03/1961;1800;25.8;21.9;69;1009;14;5;3;
83743;04/03/1961;0000;23.6;21.6;83;1011.4;14;3.5;7;
83743;04/03/1961;1200;24.1;22.2;84;1010.2;36;1;0;
83743;04/03/1961;1800;26.8;22.8;69;1007.1;14;6;1;
